RoomCd|RoomType|RoomCharacteristic|minPax|maxPax|maxAdults|maxChildren|minAdults|Description__ENG|TypeDescription__ENG|CharacteristicDescription__ENG|Description__IND|TypeDescription__IND|CharacteristicDescription__IND
BED.C1|BED|C1|1|10|10|0|1|BED IN SHARED ROOM CAPACITY 1|BED IN SHARED ROOM|CAPACITY 1|Ranjang di kamar bersama KAPASITAS 1|Ranjang di kamar bersama|KAPASITAS 1
BED.C2|BED|C2|1|1|1|0|1|BED IN SHARED ROOM CAPACITY 2|BED IN SHARED ROOM|CAPACITY 2|Ranjang di kamar bersama KAPASITAS 2|Ranjang di kamar bersama|KAPASITAS 2
BED.C3|BED|C3|1|3|3|0|1|BED IN SHARED ROOM CAPACITY 3|BED IN SHARED ROOM|CAPACITY 3|Ranjang di kamar bersama KAPASITAS 3|Ranjang di kamar bersama|KAPASITAS 3
BED.C4|BED|C4|0|14|14|1|1|BED IN SHARED ROOM CAPACITY 4|BED IN SHARED ROOM|CAPACITY 4|Ranjang di kamar bersama KAPASITAS 4|Ranjang di kamar bersama|KAPASITAS 4
BED.C4-1|BED|C4-1|1|1|1|0|1|BED IN SHARED ROOM CAPACITY 4|BED IN SHARED ROOM|CAPACITY 4|Ranjang di kamar bersama KAPASITAS 4|Ranjang di kamar bersama|KAPASITAS 4
BED.C5|BED|C5|1|5|5|1|1|BED IN SHARED ROOM CAPACITY 5|BED IN SHARED ROOM|CAPACITY 5|Ranjang di kamar bersama KAPASITAS 5|Ranjang di kamar bersama|KAPASITAS 5
BED.C5-FH|BED|C5-FH|1|6|6|0|1|BED IN SHARED ROOM CAPACITY 5 WITH SHARED BATHROOM|BED IN SHARED ROOM|CAPACITY 5 WITH SHARED BATHROOM|Ranjang di kamar bersama KAPASITAS 5 DENGAN KAMAR MANDI BERSAMA|Ranjang di kamar bersama|KAPASITAS 5 DENGAN KAMAR MANDI BERSAMA
BED.C6|BED|C6|0|6|6|1|1|BED IN SHARED ROOM CAPACITY 6|BED IN SHARED ROOM|CAPACITY 6|Ranjang di kamar bersama KAPASITAS 6|Ranjang di kamar bersama|KAPASITAS 6
BED.C6-1|BED|C6-1|1|1|1|1|1|BED IN SHARED ROOM CAPACITY 6|BED IN SHARED ROOM|CAPACITY 6|Ranjang di kamar bersama KAPASITAS 6|Ranjang di kamar bersama|KAPASITAS 6
BED.C6-2|BED|C6-2|1|6|6|0|1|BED IN SHARED ROOM CAPACITY 6|BED IN SHARED ROOM|CAPACITY 6|Ranjang di kamar bersama KAPASITAS 6|Ranjang di kamar bersama|KAPASITAS 6
BED.C6-3|BED|C6-3|1|6|6|0|1|BED IN SHARED ROOM CAPACITY 6|BED IN SHARED ROOM|CAPACITY 6|Ranjang di kamar bersama KAPASITAS 6|Ranjang di kamar bersama|KAPASITAS 6
BED.C6-FH|BED|C6-FH|1|6|6|1|1|BED IN SHARED ROOM CAPACITY 6 WITH SHARED BATHROOM|BED IN SHARED ROOM|CAPACITY 6 WITH SHARED BATHROOM|Ranjang di kamar bersama KAPASITAS 6 DENGAN KAMAR MANDI BERSAMA|Ranjang di kamar bersama|KAPASITAS 6 DENGAN KAMAR MANDI BERSAMA
BED.C7|BED|C7|1|7|7|1|1|BED IN SHARED ROOM CAPACITY 7|BED IN SHARED ROOM|CAPACITY 7|Ranjang di kamar bersama KAPASITAS 7|Ranjang di kamar bersama|KAPASITAS 7
BED.C8|BED|C8|0|9|8|1|1|BED IN SHARED ROOM CAPACITY 8|BED IN SHARED ROOM|CAPACITY 8|Ranjang di kamar bersama KAPASITAS 8|Ranjang di kamar bersama|KAPASITAS 8
BED.C8-1|BED|C8-1|1|1|1|0|1|BED IN SHARED ROOM CAPACITY 8|BED IN SHARED ROOM|CAPACITY 8|Ranjang di kamar bersama KAPASITAS 8|Ranjang di kamar bersama|KAPASITAS 8
BED.C8-FA|BED|C8-FA|0|8|8|0|1|BED IN SHARED ROOM FEMALE ROOM CAPACITY 8|BED IN SHARED ROOM|FEMALE ROOM CAPACITY 8|Ranjang di kamar bersama KAMAR PEREMPUAN KAPASITAS 8|Ranjang di kamar bersama|KAMAR PEREMPUAN KAPASITAS 8
BED.C8-FH|BED|C8-FH|1|8|8|1|1|BED IN SHARED ROOM CAPACITY 8 WITH SHARED BATHROOM|BED IN SHARED ROOM|CAPACITY 8 WITH SHARED BATHROOM|Ranjang di kamar bersama KAPASITAS 8 DENGAN KAMAR MANDI BERSAMA|Ranjang di kamar bersama|KAPASITAS 8 DENGAN KAMAR MANDI BERSAMA
BED.C8-MQ|BED|C8-MQ|1|8|8|0|1|BED IN SHARED ROOM MALE ROOM CAPACITY 8|BED IN SHARED ROOM|MALE ROOM CAPACITY 8|Ranjang di kamar bersama KAMAR LAKI-LAKI KAPASITAS 8|Ranjang di kamar bersama|KAMAR LAKI-LAKI KAPASITAS 8
BED.CC-10|BED|CC-10|1|10|10|1|1|BED IN SHARED ROOM CAPACITY 10|BED IN SHARED ROOM|CAPACITY 10|Ranjang di kamar bersama KAPASITAS 10|Ranjang di kamar bersama|KAPASITAS 10
BED.DX|BED|DX|0|1|1|0|1|BED IN SHARED ROOM DELUXE|BED IN SHARED ROOM|DELUXE|Ranjang di kamar bersama DELUKS|Ranjang di kamar bersama|DELUKS
BED.FA|BED|FA|0|6|6|0|1|BED IN SHARED ROOM FEMALE ROOM|BED IN SHARED ROOM|FEMALE ROOM|Ranjang di kamar bersama KAMAR PEREMPUAN|Ranjang di kamar bersama|KAMAR PEREMPUAN
BED.FA-1|BED|FA-1|1|1|1|1|1|BED IN SHARED ROOM FEMALE ROOM|BED IN SHARED ROOM|FEMALE ROOM|Ranjang di kamar bersama KAMAR PEREMPUAN|Ranjang di kamar bersama|KAMAR PEREMPUAN
BED.FH|BED|FH|0|12|12|1|1|BED IN SHARED ROOM WITH SHARED BATHROOM|BED IN SHARED ROOM|WITH SHARED BATHROOM|Ranjang di kamar bersama DENGAN KAMAR MANDI BERSAMA|Ranjang di kamar bersama|DENGAN KAMAR MANDI BERSAMA
BED.FH-1|BED|FH-1|1|8|8|1|1|BED IN SHARED ROOM WITH SHARED BATHROOM|BED IN SHARED ROOM|WITH SHARED BATHROOM|Ranjang di kamar bersama DENGAN KAMAR MANDI BERSAMA|Ranjang di kamar bersama|DENGAN KAMAR MANDI BERSAMA
BED.MQ|BED|MQ|1|4|4|0|1|BED IN SHARED ROOM MALE ROOM|BED IN SHARED ROOM|MALE ROOM|Ranjang di kamar bersama KAMAR LAKI-LAKI|Ranjang di kamar bersama|KAMAR LAKI-LAKI
BED.PI|BED|PI|1|1|1|0|1|BED IN SHARED ROOM PREMIUM|BED IN SHARED ROOM|PREMIUM|Ranjang di kamar bersama PREMIUM|Ranjang di kamar bersama|PREMIUM
BED.ST|BED|ST|0|14|14|1|1|BED IN SHARED ROOM STANDARD|BED IN SHARED ROOM|STANDARD|Ranjang di kamar bersama STANDAR|Ranjang di kamar bersama|STANDAR
BED.ST-1|BED|ST-1|1|12|12|0|1|BED IN SHARED ROOM STANDARD|BED IN SHARED ROOM|STANDARD|Ranjang di kamar bersama STANDAR|Ranjang di kamar bersama|STANDAR
BED.SU|BED|SU|1|1|1|0|1|BED IN SHARED ROOM SUPERIOR|BED IN SHARED ROOM|SUPERIOR|Ranjang di kamar bersama SUPERIOR|Ranjang di kamar bersama|SUPERIOR
BUN.1B|BUN|1B|0|2|2|1|1|BUNGALOW ONE BED|BUNGALOW|ONE BED|BUNGALOW SATU RANJANG|BUNGALOW|SATU RANJANG
BUN.1W-B2|BUN|1W-B2|2|4|2|2|1|BUNGALOW TWO BEDROOMS ONE BATHROOM|BUNGALOW|TWO BEDROOMS ONE BATHROOM|BUNGALOW DUA KAMAR TIDUR SATU KAMAR MANDI|BUNGALOW|DUA KAMAR TIDUR SATU KAMAR MANDI
BUN.2B|BUN|2B|0|5|5|4|1|BUNGALOW TWO BEDS|BUNGALOW|TWO BEDS|BUNGALOW DUA RANJANG|BUNGALOW|DUA RANJANG
BUN.2D|BUN|2D|0|4|4|2|1|BUNGALOW TWO DOUBLE BEDS|BUNGALOW|TWO DOUBLE BEDS|BUNGALOW DUA RANJANG DOUBLE|BUNGALOW|DUA RANJANG DOUBLE
BUN.2Q|BUN|2Q|1|6|6|5|1|BUNGALOW TWO QUEEN BEDS|BUNGALOW|TWO QUEEN BEDS|BUNGALOW DUA RANJANG QUEEN|BUNGALOW|DUA RANJANG QUEEN
BUN.2W-B2|BUN|2W-B2|1|5|5|3|1|BUNGALOW TWO BEDROOMS TWO BATHROOMS|BUNGALOW|TWO BEDROOMS TWO BATHROOMS|BUNGALOW DUA KAMAR TIDUR DUA KAMAR MANDI|BUNGALOW|DUA KAMAR TIDUR DUA KAMAR MANDI
BUN.AC|BUN|AC|1|3|3|1|1|BUNGALOW WITH AIR CONDITIONING|BUNGALOW|WITH AIR CONDITIONING|BUNGALOW DENGAN AC|BUNGALOW|DENGAN AC
BUN.AC-1|BUN|AC-1|1|1|1|0|1|BUNGALOW WITH AIR CONDITIONING|BUNGALOW|WITH AIR CONDITIONING|BUNGALOW DENGAN AC|BUNGALOW|DENGAN AC
BUN.AC-B1|BUN|AC-B1|1|3|3|2|1|BUNGALOW ONE BEDROOM WITH AIR CONDITIONING|BUNGALOW|ONE BEDROOM WITH AIR CONDITIONING|BUNGALOW SATU KAMAR DENGAN AC|BUNGALOW|SATU KAMAR DENGAN AC
BUN.AC-B2|BUN|AC-B2|2|5|5|3|2|BUNGALOW TWO BEDROOMS WITH AIR CONDITIONING|BUNGALOW|TWO BEDROOMS WITH AIR CONDITIONING|BUNGALOW DUA KAMAR DENGAN AC|BUNGALOW|DUA KAMAR DENGAN AC
BUN.AC-C2|BUN|AC-C2|2|3|3|1|1|BUNGALOW CAPACITY 2 WITH AIR CONDITIONING|BUNGALOW|CAPACITY 2 WITH AIR CONDITIONING|BUNGALOW KAPASITAS 2 DENGAN AC|BUNGALOW|KAPASITAS 2 DENGAN AC
BUN.AS|BUN|AS|1|3|3|1|1|BUNGALOW CLASSIC|BUNGALOW|CLASSIC|BUNGALOW KLASIK|BUNGALOW|KLASIK
BUN.AS-GV|BUN|AS-GV|2|4|4|2|2|BUNGALOW CLASSIC GARDEN VIEW|BUNGALOW|CLASSIC GARDEN VIEW|BUNGALOW KLASIK PEMANDANGAN KEBUN|BUNGALOW|KLASIK PEMANDANGAN KEBUN
BUN.AS-OV|BUN|AS-OV|2|4|4|2|2|BUNGALOW CLASSIC OCEAN VIEW|BUNGALOW|CLASSIC OCEAN VIEW|BUNGALOW KLASIK PEMANDANGAN SAMUDRA|BUNGALOW|KLASIK PEMANDANGAN SAMUDRA
BUN.B1|BUN|B1|0|4|4|3|1|BUNGALOW ONE BEDROOM|BUNGALOW|ONE BEDROOM|BUNGALOW SATU KAMAR|BUNGALOW|SATU KAMAR
BUN.B1-1|BUN|B1-1|1|4|4|2|1|BUNGALOW ONE BEDROOM|BUNGALOW|ONE BEDROOM|BUNGALOW SATU KAMAR|BUNGALOW|SATU KAMAR
BUN.B1-2|BUN|B1-2|5|5|2|3|2|BUNGALOW ONE BEDROOM|BUNGALOW|ONE BEDROOM|BUNGALOW SATU KAMAR|BUNGALOW|SATU KAMAR
BUN.B1-3|BUN|B1-3|3|3|3|0|3|BUNGALOW ONE BEDROOM|BUNGALOW|ONE BEDROOM|BUNGALOW SATU KAMAR|BUNGALOW|SATU KAMAR
BUN.B1-4|BUN|B1-4|4|4|3|1|3|BUNGALOW ONE BEDROOM|BUNGALOW|ONE BEDROOM|BUNGALOW SATU KAMAR|BUNGALOW|SATU KAMAR
BUN.B1-5|BUN|B1-5|5|5|3|2|3|BUNGALOW ONE BEDROOM|BUNGALOW|ONE BEDROOM|BUNGALOW SATU KAMAR|BUNGALOW|SATU KAMAR
BUN.B1-6|BUN|B1-6|4|4|4|0|4|BUNGALOW ONE BEDROOM|BUNGALOW|ONE BEDROOM|BUNGALOW SATU KAMAR|BUNGALOW|SATU KAMAR
BUN.B1-7|BUN|B1-7|5|5|4|1|4|BUNGALOW ONE BEDROOM|BUNGALOW|ONE BEDROOM|BUNGALOW SATU KAMAR|BUNGALOW|SATU KAMAR
BUN.B1-C1|BUN|B1-C1|1|1|1|0|1|BUNGALOW CAPACITY 1 ONE BEDROOM|BUNGALOW|CAPACITY 1 ONE BEDROOM|BUNGALOW KAPASITAS 1 SATU KAMAR|BUNGALOW|KAPASITAS 1 SATU KAMAR
BUN.B1-C2|BUN|B1-C2|1|4|2|2|1|BUNGALOW CAPACITY 2 ONE BEDROOM|BUNGALOW|CAPACITY 2 ONE BEDROOM|BUNGALOW KAPASITAS 2 SATU KAMAR|BUNGALOW|KAPASITAS 2 SATU KAMAR
BUN.B1-C3|BUN|B1-C3|1|3|3|1|1|BUNGALOW CAPACITY 3 ONE BEDROOM|BUNGALOW|CAPACITY 3 ONE BEDROOM|BUNGALOW KAPASITAS 3 SATU KAMAR|BUNGALOW|KAPASITAS 3 SATU KAMAR
BUN.B1-C4|BUN|B1-C4|1|4|4|1|1|BUNGALOW CAPACITY 4 ONE BEDROOM|BUNGALOW|CAPACITY 4 ONE BEDROOM|BUNGALOW KAPASITAS 4 SATU KAMAR|BUNGALOW|KAPASITAS 4 SATU KAMAR
BUN.B1-KG|BUN|B1-KG|0|0|0|0|1|BUNGALOW KING BED ONE BEDROOM |BUNGALOW|KING BED ONE BEDROOM |BUNGALOW RANJANG KING SATU KAMAR TIDUR |BUNGALOW|RANJANG KING SATU KAMAR TIDUR 
BUN.B1-OF|BUN|B1-OF|1|3|2|1|1|BUNGALOW OCEAN FRONT ONE BEDROOM|BUNGALOW|OCEAN FRONT ONE BEDROOM|BUNGALOW DEPAN SAMUDRA SATU KAMAR TIDUR|BUNGALOW|DEPAN SAMUDRA SATU KAMAR TIDUR
BUN.B1-PE|BUN|B1-PE|1|4|3|2|1|BUNGALOW PREMIER ONE BEDROOM|BUNGALOW|PREMIER ONE BEDROOM|BUNGALOW PREMIER SATU KAMAR TIDUR|BUNGALOW|PREMIER SATU KAMAR TIDUR
BUN.B1-PI|BUN|B1-PI|1|4|3|1|1|BUNGALOW PREMIUM ONE BEDROOM|BUNGALOW|PREMIUM ONE BEDROOM|BUNGALOW PREMIUM SATU KAMAR TIDUR|BUNGALOW|PREMIUM SATU KAMAR TIDUR
BUN.B1-SU|BUN|B1-SU|1|4|3|2|1|BUNGALOW SUPERIOR ONE BEDROOM|BUNGALOW|SUPERIOR ONE BEDROOM|BUNGALOW SUPERIOR SATU KAMAR TIDUR|BUNGALOW|SUPERIOR SATU KAMAR TIDUR
BUN.B1-VM|BUN|B1-VM|1|4|4|2|1|BUNGALOW SEA VIEW ONE BEDROOM|BUNGALOW|SEA VIEW ONE BEDROOM|BUNGALOW PEMANDANGAN LAUT SATU KAMAR TIDUR|BUNGALOW|PEMANDANGAN LAUT SATU KAMAR TIDUR
BUN.B2|BUN|B2|0|7|6|4|1|BUNGALOW TWO BEDROOMS|BUNGALOW|TWO BEDROOMS|BUNGALOW DUA KAMAR|BUNGALOW|DUA KAMAR
BUN.B2-1|BUN|B2-1|1|5|5|0|1|BUNGALOW TWO BEDROOMS|BUNGALOW|TWO BEDROOMS|BUNGALOW DUA KAMAR|BUNGALOW|DUA KAMAR
BUN.B2-2|BUN|B2-2|2|5|3|2|2|BUNGALOW TWO BEDROOMS|BUNGALOW|TWO BEDROOMS|BUNGALOW DUA KAMAR|BUNGALOW|DUA KAMAR
BUN.B2-BF|BUN|B2-BF|1|6|6|4|1|BUNGALOW BEACH FRONT TWO BEDROOMS|BUNGALOW|BEACH FRONT TWO BEDROOMS|BUNGALOW DEPAN PANTAI DUA KAMAR TIDUR|BUNGALOW|DEPAN PANTAI DUA KAMAR TIDUR
BUN.B2-C2|BUN|B2-C2|1|2|2|1|1|BUNGALOW CAPACITY 2 TWO BEDROOMS|BUNGALOW|CAPACITY 2 TWO BEDROOMS|BUNGALOW KAPASITAS 2 DUA KAMAR|BUNGALOW|KAPASITAS 2 DUA KAMAR
BUN.B2-C3|BUN|B2-C3|1|3|3|0|1|BUNGALOW CAPACITY 3 TWO BEDROOMS|BUNGALOW|CAPACITY 3 TWO BEDROOMS|BUNGALOW KAPASITAS 3 DUA KAMAR|BUNGALOW|KAPASITAS 3 DUA KAMAR
BUN.B2-C4|BUN|B2-C4|1|4|4|2|1|BUNGALOW CAPACITY 4 TWO BEDROOMS|BUNGALOW|CAPACITY 4 TWO BEDROOMS|BUNGALOW KAPASITAS 4 DUA KAMAR|BUNGALOW|KAPASITAS 4 DUA KAMAR
BUN.B2-C5|BUN|B2-C5|1|6|5|3|1|BUNGALOW CAPACITY 5 TWO BEDROOMS|BUNGALOW|CAPACITY 5 TWO BEDROOMS|BUNGALOW KAPASITAS 5 DUA KAMAR|BUNGALOW|KAPASITAS 5 DUA KAMAR
BUN.B2-C6|BUN|B2-C6|1|6|6|3|1|BUNGALOW CAPACITY 6 TWO BEDROOMS|BUNGALOW|CAPACITY 6 TWO BEDROOMS|BUNGALOW KAPASITAS 6 DUA KAMAR|BUNGALOW|KAPASITAS 6 DUA KAMAR
BUN.B2-GV|BUN|B2-GV|1|8|8|3|1|BUNGALOW GARDEN VIEW TWO BEDROOMS|BUNGALOW|GARDEN VIEW TWO BEDROOMS|BUNGALOW PEMANDANGAN KEBUN DUA KAMAR TIDUR|BUNGALOW|PEMANDANGAN KEBUN DUA KAMAR TIDUR
BUN.B2-PE|BUN|B2-PE|1|4|4|3|1|BUNGALOW PREMIER TWO BEDROOMS|BUNGALOW|PREMIER TWO BEDROOMS|BUNGALOW PREMIER DUA KAMAR TIDUR|BUNGALOW|PREMIER DUA KAMAR TIDUR
BUN.B2-PP|BUN|B2-PP|1|4|4|3|1|BUNGALOW TWO BEDROOMS WITH PRIVATE POOL|BUNGALOW|TWO BEDROOMS WITH PRIVATE POOL|BUNGALOW DUA KAMAR DENGAN KOLAM RENANG PRIBADI|BUNGALOW|DUA KAMAR DENGAN KOLAM RENANG PRIBADI
BUN.B2-QN|BUN|B2-QN|1|5|4|1|1|BUNGALOW QUEEN BED TWO BEDROOMS|BUNGALOW|QUEEN BED TWO BEDROOMS|BUNGALOW RANJANG QUEEN DUA KAMAR TIDUR|BUNGALOW|RANJANG QUEEN DUA KAMAR TIDUR
BUN.B2-SU|BUN|B2-SU|1|6|5|3|1|BUNGALOW SUPERIOR TWO BEDROOMS|BUNGALOW|SUPERIOR TWO BEDROOMS|BUNGALOW SUPERIOR DUA KAMAR TIDUR|BUNGALOW|SUPERIOR DUA KAMAR TIDUR
BUN.B3|BUN|B3|1|10|8|6|1|BUNGALOW THREE BEDROOMS|BUNGALOW|THREE BEDROOMS|BUNGALOW TIGA KAMAR|BUNGALOW|TIGA KAMAR
BUN.B3-2|BUN|B3-2|1|2|2|1|1|BUNGALOW THREE BEDROOMS|BUNGALOW|THREE BEDROOMS|BUNGALOW TIGA KAMAR|BUNGALOW|TIGA KAMAR
BUN.B3-C4|BUN|B3-C4|1|4|4|3|1|BUNGALOW CAPACITY 4 THREE BEDROOM|BUNGALOW|CAPACITY 4 THREE BEDROOM|BUNGALOW KAPASITAS 4 TIGA KAMAR|BUNGALOW|KAPASITAS 4 TIGA KAMAR
BUN.B3-C6|BUN|B3-C6|1|6|6|5|1|BUNGALOW CAPACITY 6 THREE BEDROOM|BUNGALOW|CAPACITY 6 THREE BEDROOM|BUNGALOW KAPASITAS 6 TIGA KAMAR|BUNGALOW|KAPASITAS 6 TIGA KAMAR
BUN.B3-DX|BUN|B3-DX|1|6|6|2|1|BUNGALOW DELUXE THREE BEDROOM|BUNGALOW|DELUXE THREE BEDROOM|BUNGALOW DELUKS TIGA KAMAR TIDUR|BUNGALOW|DELUKS TIGA KAMAR TIDUR
BUN.B4|BUN|B4|1|10|9|1|1|BUNGALOW FOUR BEDROOMS|BUNGALOW|FOUR BEDROOMS|BUNGALOW EMPAT KAMAR|BUNGALOW|EMPAT KAMAR
BUN.B5|BUN|B5|1|10|10|10|1|BUNGALOW FIVE BEDROOMS|BUNGALOW|FIVE BEDROOMS|BUNGALOW LIMA KAMAR|BUNGALOW|LIMA KAMAR
BUN.BF|BUN|BF|1|6|4|3|1|BUNGALOW BEACH FRONT|BUNGALOW|BEACH FRONT|BUNGALOW DEPAN PANTAI|BUNGALOW|DEPAN PANTAI
BUN.BF-1|BUN|BF-1|1|2|2|1|1|BUNGALOW BEACH FRONT|BUNGALOW|BEACH FRONT|BUNGALOW DEPAN PANTAI|BUNGALOW|DEPAN PANTAI
BUN.BF-DX|BUN|BF-DX|1|3|3|1|1|BUNGALOW DELUXE BEACH FRONT|BUNGALOW|DELUXE BEACH FRONT|BUNGALOW DELUKS DEPAN PANTAI|BUNGALOW|DELUKS DEPAN PANTAI
BUN.BF-SU|BUN|BF-SU|1|3|2|2|1|BUNGALOW SUPERIOR BEACH FRONT|BUNGALOW|SUPERIOR BEACH FRONT|BUNGALOW SUPERIOR DEPAN PANTAI|BUNGALOW|SUPERIOR DEPAN PANTAI
BUN.BL|BUN|BL|1|12|12|0|1|BUNGALOW WITH BALCONY|BUNGALOW|WITH BALCONY|BUNGALOW DENGAN BALKON|BUNGALOW|DENGAN BALKON
BUN.C1|BUN|C1|0|3|2|1|1|BUNGALOW CAPACITY 1|BUNGALOW|CAPACITY 1|BUNGALOW KAPASITAS 1|BUNGALOW|KAPASITAS 1
BUN.C2|BUN|C2|1|4|4|2|1|BUNGALOW CAPACITY 2|BUNGALOW|CAPACITY 2|BUNGALOW KAPASITAS 2|BUNGALOW|KAPASITAS 2
BUN.C2-2|BUN|C2-2|1|6|6|5|1|BUNGALOW CAPACITY 2|BUNGALOW|CAPACITY 2|BUNGALOW KAPASITAS 2|BUNGALOW|KAPASITAS 2
BUN.C2-DX|BUN|C2-DX|1|4|2|2|1|BUNGALOW DELUXE CAPACITY 2|BUNGALOW|DELUXE CAPACITY 2|BUNGALOW DELUKS KAPASITAS 2|BUNGALOW|DELUKS KAPASITAS 2
BUN.C2-GV|BUN|C2-GV|1|4|3|0|1|BUNGALOW GARDEN VIEW CAPACITY 2|BUNGALOW|GARDEN VIEW CAPACITY 2|BUNGALOW PEMANDANGAN KEBUN KAPASITAS 2|BUNGALOW|PEMANDANGAN KEBUN KAPASITAS 2
BUN.C2-SU|BUN|C2-SU|1|4|2|1|1|BUNGALOW SUPERIOR CAPACITY 2|BUNGALOW|SUPERIOR CAPACITY 2|BUNGALOW SUPERIOR KAPASITAS 2|BUNGALOW|SUPERIOR KAPASITAS 2
BUN.C2-VM|BUN|C2-VM|1|5|3|2|1|BUNGALOW SEA VIEW CAPACITY 2|BUNGALOW|SEA VIEW CAPACITY 2|BUNGALOW PEMANDANGAN LAUT KAPASITAS 2|BUNGALOW|PEMANDANGAN LAUT KAPASITAS 2
BUN.C3|BUN|C3|1|4|4|2|1|BUNGALOW CAPACITY 3|BUNGALOW|CAPACITY 3|BUNGALOW KAPASITAS 3|BUNGALOW|KAPASITAS 3
BUN.C3-1|BUN|C3-1|3|3|3|0|1|BUNGALOW CAPACITY 3|BUNGALOW|CAPACITY 3|BUNGALOW KAPASITAS 3|BUNGALOW|KAPASITAS 3
BUN.C3-SU|BUN|C3-SU|1|4|3|1|1|BUNGALOW SUPERIOR CAPACITY 3|BUNGALOW|SUPERIOR CAPACITY 3|BUNGALOW SUPERIOR KAPASITAS 3|BUNGALOW|SUPERIOR KAPASITAS 3
BUN.C3-VM|BUN|C3-VM|1|4|3|2|1|BUNGALOW SEA VIEW CAPACITY 3|BUNGALOW|SEA VIEW CAPACITY 3|BUNGALOW PEMANDANGAN LAUT KAPASITAS 3|BUNGALOW|PEMANDANGAN LAUT KAPASITAS 3
BUN.C4|BUN|C4|0|6|6|3|1|BUNGALOW CAPACITY 4|BUNGALOW|CAPACITY 4|BUNGALOW KAPASITAS 4|BUNGALOW|KAPASITAS 4
BUN.C4-SU|BUN|C4-SU|1|4|4|2|1|BUNGALOW SUPERIOR CAPACITY 4|BUNGALOW|SUPERIOR CAPACITY 4|BUNGALOW SUPERIOR KAPASITAS 4|BUNGALOW|SUPERIOR KAPASITAS 4
BUN.C4-VM|BUN|C4-VM|4|5|4|1|1|BUNGALOW SEA VIEW CAPACITY 4|BUNGALOW|SEA VIEW CAPACITY 4|BUNGALOW PEMANDANGAN LAUT KAPASITAS 4|BUNGALOW|PEMANDANGAN LAUT KAPASITAS 4
BUN.C5|BUN|C5|1|7|5|3|1|BUNGALOW CAPACITY 5|BUNGALOW|CAPACITY 5|BUNGALOW KAPASITAS 5|BUNGALOW|KAPASITAS 5
BUN.C6|BUN|C6|1|6|6|5|1|BUNGALOW CAPACITY 6|BUNGALOW|CAPACITY 6|BUNGALOW KAPASITAS 6|BUNGALOW|KAPASITAS 6
BUN.C7|BUN|C7|1|8|8|2|2|BUNGALOW CAPACITY 7|BUNGALOW|CAPACITY 7|BUNGALOW KAPASITAS 7|BUNGALOW|KAPASITAS 7
BUN.C8|BUN|C8|1|8|8|0|1|BUNGALOW CAPACITY 8|BUNGALOW|CAPACITY 8|BUNGALOW KAPASITAS 8|BUNGALOW|KAPASITAS 8
BUN.CB|BUN|CB|2|5|4|3|1|BUNGALOW CLUB|BUNGALOW|CLUB|BUNGALOW KLUB|BUNGALOW|KLUB
BUN.CV|BUN|CV|0|0|0|0|1|BUNGALOW CITY VIEW|BUNGALOW|CITY VIEW|BUNGALOW PEMANDANGAN KOTA|BUNGALOW|PEMANDANGAN KOTA
BUN.DB|BUN|DB|1|3|2|1|1|BUNGALOW DOUBLE BED|BUNGALOW|DOUBLE BED|BUNGALOW RANJANG DOUBLE|BUNGALOW|RANJANG DOUBLE
BUN.DB-2|BUN|DB-2|1|3|3|1|1|BUNGALOW DOUBLE BED|BUNGALOW|DOUBLE BED|BUNGALOW RANJANG DOUBLE|BUNGALOW|RANJANG DOUBLE
BUN.DP|BUN|DP|1|5|4|2|1|BUNGALOW DUPLEX|BUNGALOW|DUPLEX|BUNGALOW DUPLEKS|BUNGALOW|DUPLEKS
BUN.DX|BUN|DX|0|7|5|4|1|BUNGALOW DELUXE|BUNGALOW|DELUXE|BUNGALOW DELUKS|BUNGALOW|DELUKS
BUN.DX-2|BUN|DX-2|1|3|3|1|1|BUNGALOW DELUXE|BUNGALOW|DELUXE|BUNGALOW DELUKS|BUNGALOW|DELUKS
BUN.DX-3|BUN|DX-3|1|3|3|1|1|BUNGALOW DELUXE|BUNGALOW|DELUXE|BUNGALOW DELUKS|BUNGALOW|DELUKS
BUN.DX-GD|BUN|DX-GD|1|3|3|2|1|BUNGALOW GRAND DELUXE|BUNGALOW|GRAND DELUXE|BUNGALOW GRAND DELUKS|BUNGALOW|GRAND DELUKS
BUN.DX-GV|BUN|DX-GV|0|5|4|3|1|BUNGALOW DELUXE GARDEN VIEW|BUNGALOW|DELUXE GARDEN VIEW|BUNGALOW DELUKS PEMANDANGAN KEBUN|BUNGALOW|DELUKS PEMANDANGAN KEBUN
BUN.DX-KG|BUN|DX-KG|0|2|2|1|1|BUNGALOW DELUXE KING BED|BUNGALOW|DELUXE KING BED|BUNGALOW DELUKS RANJANG KING|BUNGALOW|DELUKS RANJANG KING
BUN.DX-OF|BUN|DX-OF|1|4|4|3|1|BUNGALOW DELUXE OCEAN FRONT|BUNGALOW|DELUXE OCEAN FRONT|BUNGALOW DELUKS DEPAN SAMUDRA|BUNGALOW|DELUKS DEPAN SAMUDRA
BUN.DX-OV|BUN|DX-OV|1|5|5|4|1|BUNGALOW DELUXE OCEAN VIEW|BUNGALOW|DELUXE OCEAN VIEW|BUNGALOW DELUKS PEMANDANGAN SAMUDRA|BUNGALOW|DELUKS PEMANDANGAN SAMUDRA
