Airport Code|Airport Name|City Name|Country Name
DDI|Daydream Is|Daydream Is|Australia
DDM|Dodoima|Dodoima|Papua New Guinea
DDN|Delta Downs|Delta Downs|Australia
DDP|Dorado Beach|Dorado|Puerto Rico
DDU|Dadu|Dadu|Pakistan
DEA|Dera Ghazi Khan|Dera Ghazi Khan|Pakistan
DEB|Debrecen|Debrecen|Hungary
DEC|Decatur Arpt|Decatur|United States
DED|Dehra Dun|Dehra Dun|India
DEF|Dezful|Dezful|Iran
DEH|Municipal|Decorah|United States
DEI|Denis Island|Denis Island|Seychelles
DEL|Indira Gandhi Intl|New Delhi|India
DEM|Dembidollo|Dembidollo|Ethiopia
DEN|Denver Intl.|Denver|United States
DEO|Hyatt Regency H/P|Dearborn|United States
DEP|Deparizo|Deparizo|India
DER|Derim|Derim|Papua New Guinea
DES|Desroches|Desroches|Seychelles
DET|Detroit City|Detroit, MI|United States
DEZ|Al Jafrah|Deirezzor|Syria
DFI|Memorial|Defiance|United States
DFP|Drumduff|Drumduff|Australia
DFW|Dallas/Fort Worth Intl.|Dallas|United States
DGA|Dangriga|Dangriga|Belize
DGB|Danger Bay|Danger Bay|United States
DGC|Degahbur|Degahbur|Ethiopia
DGD|Dalgaranga|Dalgaranga|Australia
DGE|Mudgee|Mudgee|Australia
DGF|Bisbee-douglas Intl.|Douglas|Unites States
DGK|Dugong|Dugong|Mozambique
DGL|Douglas Municipal|Douglas|United States
DGM|Dongguan|Dongguan|China
DGN|NAF|Dahlgren|United States
DGO|Guadalupe Victoria|Durango|Mexico
DGP|Daugavpils|Daugavpils|Latvia
DGR|Dargaville|Dargaville|New Zealand
DGT|Dumaguete|Dumaguete|Philippines
DGU|Dedougou|Dedougou|Burkina Faso
DGW|Converse County|Douglas|United States
DHA|Dhahran|Dhahran|Saudi Arabia
DHD|Durham Downs|Durham Downs|Australia
DHF|Al Dhafra Military Apt|Abu Dhabi|United Arab Emirates
DHI|Dhangarhi|Dhangarhi|Nepal
DHL|Dhala|Dhala|Yemen
DHM|Gaggal Arpt.|Dharamsala|India
DHN|Dothan Arpt|Dothan|United States
DHR|De Kooy/Den Helder Arpt.|Den Helder|Netherlands
DHT|Dalhart|Dalhart|United States
DIB|Dibrugarh|Dibrugarh|India
DIC|Dili City Heliport|Dili|East Timor-Indonesia
DIE|Antsiranana/Arrachart|Antsiranana|Madagascar
DIG|Diqing|Diqing|China
DIJ|Dijon|Dijon|France
DIK|Dickinson|Dickinson|United States
DIL|Presidente Nicolau Lobato Intl. Arpt.|Dili|East Timor-Indonesia
DIM|Dimbokro|Dimbokro|Cote D'Ivoire
DIN|Dien Bien|Dien Bien Phu|Viet Nam
DIO|Diomede Island|Diomede Island|United States
DIP|Diapaga|Diapaga|Burkina Faso
DIQ|Divinopolis|Divinopolis|Brazil
DIR|Aba Tenna D Yilma|Dire Dawa|Ethiopia
DIS|Loubomo|Loubomo|Congo
DIU|Diu|Diu|India
DIV|Divo|Divo|Cote D'Ivoire
DIW|Mawella Lagoon|Dickwella|Sri Lanka
DIY|Diyarbakir|Diyarbakir|Turkey
DJA|Djougou|Djougou|Benin
DJB|Sultan Taha Syarifudn|Jambi|Indonesia
DJE|Djerba-Zarzis|Djerba|Tunisia
DJG|Inedbirenne|Djanet|Algeria
DJJ|Sentani|Jayapura|Indonesia
DJM|Djambala|Djambala|Congo
DJN|Delta Junction|Delta Junction|United States
DJO|Daloa|Daloa|Cote D'Ivoire
DJU|Djupivogur|Djupivogur|Iceland
DKI|Dunk Island|Dunk Island|Australia
DKK|Dunkirk|Dunkirk|United States
DKR|Dakar-Yoff-Léopold Sédar Senghor Intl.|Dakar|Senegal
DKS|Dikson|Dikson|Russian Federation
DKV|Docker River|Docker River|Australia
DLA|Douala|Douala|Cameroon
DLB|Dalbertis|Dalbertis|Papua New Guinea
DLC|Dalian|Dalian|China
DLD|Dagali Arpt.|Geilo|Norway
DLE|Tavaux|Dole|France
DLF|Laughlin Afb|Del Rio|United States
DLG|Municipal|Dillingham|United States
DLH|Duluth Intl.|Duluth|United States
DLI|Lienkhang|Dalat|Viet Nam
DLK|Dulkaninna|Dulkaninna|Australia
DLL|Dillon|Dillon|United States
DLM|Dalaman|Dalaman|Turkey
DLN|Dillon|Dillon|United States
DLO|Dolomi|Dolomi|United States
DLP|Disneyland Paris|Disneyland Paris|France
DLS|Columbia Gorge Regional/The Dalles Municipal Arpt.|The Dalles|United States
DLU|Dali|Dali City|China
DLV|Delissaville|Delissaville|Australia
DLY|Dillons Bay|Dillons Bay|Vanuatu
DLZ|Dalanzadgad|Dalanzadgad|Mongolia
DMB|Zhambyl|Zhambyl|Kazakhstan
DMD|Doomadgee|Doomadgee|Australia
DME|Domodedovo|Moscow|Russian Federation
DMK|Don Muang|Bangkok|Thailand
DMM|King Fahd Intl. Arpt.|Dammam|Saudi Arabia
DMN|Deming|Deming|United States
DMO|Sedalia|Sedalia|United States
DMR|Dhamar|Dhamar|Yemen
DMS|SABTCO BUS ST|Dammam|Saudi Arabia
DMT|Diamantino|Diamantino|Brazil
DMU|Dimapur|Dimapur|India
DNA|Kadena AB|Okinawa|Japan
DNB|Dunbar|Dunbar|Australia
DNC|Danane|Danane|Cote D'Ivoire
DND|Dundee|Dundee|United Kingdom
DNE|Dallas North Arpt.|Dallas|United States
DNF|Martuba|Derna|Libya
DNG|Doongan|Doongan|Australia
DNH|Dunhuang|Dunhuang|China
DNI|Wad Medani|Wad Medani|Sudan
DNK|Dnepropetrovsk|Dnepropetrovsk|Ukraine
DNL|Daniel Field|Augusta, GA|United States
DNM|Denham|Denham|Australia
DNN|Municipal|Dalton|United States
DNO|Dianopolis|Dianopolis|Brazil
DNP|Dang|Dang|Nepal
DNQ|Deniliquin|Deniliquin|Australia
DNR|Pleurtuit|Dinard|France
DNS|Municipal|Denison|United States
DNT|Downtown Heliport|Santa Ana|United States
DNU|Dinangat|Dinangat|Papua New Guinea
DNV|Vermilion County|Danville, IL|United States
DNX|Galegu|Dinder|Sudan
DNZ|Cardak|Denizli|Turkey
DOA|Doany|Doany|Madagascar
DOC|Dornoch|Dornoch|United Kingdom
DOD|Dodoma|Dodoma|Tanzania
DOE|Djoemoe|Djoemoe|Suriname
DOF|Dora Bay|Dora Bay|United States
DOG|Dongola|Dongola|Sudan
DOH|Doha|Doha|Qatar
DOI|Doini|Doini|Papua New Guinea
DOK|Donetsk Intl. Arpt.|Donetsk|Ukraine
DOL|St Gatien|Deauville|France
DOM|Melville Hall|Dominica|Dominica
DON|Dos Lagunas|Dos Lagunas|Guatemala
DOO|Dorobisoro|Dorobisoro|Papua New Guinea
DOP|Dolpa|Dolpa|Nepal
DOR|Dori|Dori|Burkina Faso
DOS|Dios|Dios|Papua New Guinea
DOU|Dourados|Dourados|Brazil
DOV|Dover AFB|Dover-Cheswold, DE|United States
DOX|Dongara|Dongara|Australia
DOY|Dongying|Dongying|China
DPA|Dupage County|Chicago|United States
DPE|Dieppe|Dieppe|France
DPG|Michael AAF|Dugway|United States
DPK|Deer Park|Deer Park|United States
DPL|Dipolog|Dipolog|Philippines
DPO|Devonport|Devonport|Australia
DPS|Ngurah Rai Intl.|Denpasar, Bali|Indonesia
DPU|Dumpu|Dumpu|Papua New Guinea
DQA|Daqing Saertu|Daqing|China
DRA|Desert Rock|Mercury|United States
DRB|Derby|Derby|Australia
DRC|Dirico|Dirico|Angola
DRD|Dorunda Station|Dorunda Station|Australia
DRE|Drummond Island|Drummond Island|United States
DRF|Drift River|Drift River|United States
DRG|Deering|Deering|United States
DRH|Dabra|Dabra|Indonesia
DRI|Beauregard Parish|De Ridder|United States
DRM|Drama|Drama|Greece
DRN|Dirranbandi|Dirranbandi|Australia
DRO|La Plata|Durango|United States
DRR|Durrie|Durrie|Australia
DRS|Dresden Arpt|Dresden|Germany
DRT|Intl.|Del Rio|United States
DRU|Drummond|Drummond|United States
DRW|Darwin|Darwin|Australia
DSA|Robin Hood|Doncaster Sheffield|United Kingdom
DSC|Dschang|Dschang|Cameroon
DSD|La Desirade|La Desirade|Guadeloupe
DSE|Combolcha|Dessie|Ethiopia
DSI|Destin-Fort Walton Beach Arpt.|Destin|United States
DSK|Dera Ismail Khan|Dera Ismail Khan|Pakistan
DSL|Daru|Daru|Sierra Leone
DSM|Des Moines Intl.|Des Moines, IA|United States
DSN|Dongsheng|Dongsheng|China
DTA|Delta|Delta|United States
DTD|Datadawai|Datadawai|Indonesia
DTE|Naga|Daet|Philippines
DTH|Death Valley|Death Valley|United States
DTL|Municipal|Detroit Lakes|United States
DTM|Dortmund|Dortmund|Germany
DTN|Shreveport Downtown|Shreveport, LA|United States
DTR|Decatur Island|Decatur Island|United States
DTW|Detroit Metropolitan Wayne County|Detroit, MI|United States
DUA|Eaker|Durant|United States
DUB|Dublin|Dublin|Ireland
DUC|Halliburton Field|Duncan|United States
DUD|Dunedin Intl.|Dunedin|New Zealand
DUE|Dundo|Dundo|Angola
DUF|Pine Island Arpt.|Corolla, NC|United States
DUG|Bisbee-Douglas Intl|Douglas|United States
DUJ|Du Bois-Jefferson County|Du Bois|United States
DUK|Dukuduk|Dukuduk|South Africa
DUM|Pinang Kampai|Dumai|Indonesia
DUN|Dundas|Dundas|Greenland
DUQ|Duncan/Quam|Duncan/Quam|Canada
DUR|Durban Intl.|Durban|South Africa
DUS|Düsseldorf Intl. Arpt.|Dusseldorf|Germany
DUT|Emergency Field|Dutch Harbor|United States
DVA|Deva|Deva|Romania
DVK|Diavik|Diavik|Canada
DVL|Devils Lake|Devils Lake|United States
DVN|Davenport|Davenport|United States
DVO|Francisco Bangoy Intl.|Davao|Philippines
DVP|Davenport Downs|Davenport Downs|Australia
DVR|Daly River|Daly River|Australia
DVT|Phoenix Deer Valley Arpt.|Phoenix|United States
DWA|Dwangwa|Dwangwa|Malawi
DWB|Soalala|Soalala|Madagascar
DWD|Dawadmi|Dawadmi|Saudi Arabia
DWF|Wright AFB|Dayton|United States
DWH|David Wayne Hooks|Houston|United States
DWN|Downtown Airpark|Oklahoma City|United States
DWS|Walt Disney World|Orlando|United States
DXA|Deux Alpes|Deux Alpes|France
DXB|Dubai|Dubai|United Arab Emirates
DXD|Dixie|Dixie|Australia
DXR|Danbury Municipal Arpt.|Danbury, CT|United States
DYA|Dysart|Dysart|Australia
DYG|Dayong|Dayong|China
DYL|Doylestown|Doylestown|United States
DYM|Diamantina Lakes|Diamantina Lakes|Australia
DYR|Anadyr|Anadyr|Russian Federation
DYS|Dyess AFB|Abilene|United States
DYU|Dushanbe|Dushanbe|Tajikistan
DYW|Daly Waters|Daly Waters|Australia
DZA|Dzaoudzi|Dzaoudzi|Comoros
DZI|Codazzi|Codazzi|Colombia
DZN|Zhezhazgan|Zhezkazgan|Kazakhstan
DZO|Santa Bernardina|Durazno|Uruguay
DZU|Dazu|Dazu|China
EAA|Eagle|Eagle|United States
EAB|Abbse|Abbse|Yemen
EAE|Emae|Emae|Vanuatu
EAL|Elenak|Kwajalein Atoll|Marshall Islands
EAM|Nejran|Nejran|Saudi Arabia
EAN|Phifer Field|Wheatland|United States
EAR|Kearney|Kearney|United States
EAS|Donostia - San Sebastian|San Sebastian|Spain
EAT|Pangborn Field|Wenatchee|United States
EAU|Chippewa Valley Regional Arpt.|Eau Claire, WI|United States
EBA|Marina Di Campo|Elba Island|Italy
EBB|Entebbe|Entebbe|Uganda
EBD|El Obeid|El Obeid|Sudan
EBG|El Bagre|El Bagre|Colombia
EBJ|Esbjerg|Esbjerg|Denmark
EBL|Erbil Intl.|Erbil|Iraq
EBM|El Borma|El Borma|Tunisia
EBN|Ebadon|Ebadon|Marshall Islands
EBR|Downtown|Baton Rouge|United States
EBS|Municipal|Webster City|United States
EBU|Boutheon|St Etienne|France
EBW|Ebolowa|Ebolowa|Cameroon
ECA|Emmet County Arpt.|East Tawas|United States
ECG|Elizabeth City|Elizabeth City, NC|United States
ECH|Echuca|Echuca|Australia
ECN|Ercan|Lefkosa|Cyprus
ECO|El Encanto|El Encanto|Colombia
ECP|Northwest Florida Beaches Intl.|Panama City, FL|United States
ECR|El Charco|El Charco|Colombia
ECS|Mondell|Newcastle|United States
EDA|Edna Bay|Edna Bay|United States
EDB|Eldebba|Eldebba|Sudan
EDD|Erldunda|Erldunda|Australia
EDE|Municipal|Edenton|United States
EDF|Elmendorf Afb|Anchorage|United States
EDG|Weide AAF|Edgewood|United States
EDI|Turnhouse|Edinburgh|Scotland, United Kingdom
EDK|El Dorado|El Dorado|United States
EDL|Eldoret|Eldoret|Kenya
EDM|Les Ajoncs|La Roche|France
EDO|Edremit/korfez|Edremit/korfez|Turkey
EDQ|Erandique|Erandique|Honduras
EDR|Edward River|Edward River|Australia
EDW|Edwards AFB|Edwards AFB|United States
EED|Needles|Needles|United States
EEK|Eek|Eek|United States
EEN|Dillant-Hopkins|Keene|United States
EFB|Eight Fathom Bight|Eight Fathom Bight|United States
EFD|Ellington Field|Houston|United States
EFG|Efogi|Efogi|Papua New Guinea
EFK|Newport|Newport|United States
EFL|Kefalonia Istland Intl. Arpt.|Kefalonia|Greece
EFW|Municipal|Jefferson|United States
EGA|Engati|Engati|Papua New Guinea
EGC|Roumanieres|Bergerac|France
EGE|Eagle County|Vail/Eagle|United States
EGI|Duke Field|Valparaiso|United States
EGL|Neghelli|Neghelli|Ethiopia
EGM|Sege|Sege|Solomon Islands
EGN|Geneina|Geneina|Sudan
EGO|Belgorod|Belgorod|Russian Federation
EGP|Maverick Co|Eagle Pass|United States
EGS|Egilsstadir|Egilsstadir|Iceland
EGV|Eagle River|Eagle River|United States
EGX|Egegik|Egegik|United States
EHL|El Bolson|El Bolson|Argentina
EHM|Cape Newenham|Cape Newenham|United States
EHT|Rentschler|East Hartford|United States
EIA|Popondetta|Eia|Papua New Guinea
EIB|Eisenach|Eisenach|Germany
EIE|Eniseysk|Eniseysk|Russian Federation
EIH|Einasleigh|Einasleigh|Australia
EIL|Eielson AFB|Fairbanks|United States
EIN|Eindhoven|Eindhoven|Netherlands
EIS|Beef Island|Beef Island|British Virgin Islands
EIY|Ein Yahav|Ein Yahav|Israel
EJA|Variguies|Barrancabermeja|Colombia
EJH|Wedjh|Wedjh|Saudi Arabia
EJT|Enijet|Mili Atoll|Marshall Islands
EKA|Murray Field|Eureka, CA|United States
EKB|Ekibastuz|Ekibastuz|Kazakhstan
EKD|Elkedra|Elkedra|Australia
EKE|Ekereku|Ekereku|Guyana
EKI|Municipal|Elkhart|United States
EKN|Elkins|Elkins|United States
EKO|Elko Regional|Elko, NV|United States
EKT|Eskilstuna|Eskilstuna|Sweden
EKX|Elizabethtown|Elizabethtown|United States
ELA|Eagle Lake|Eagle Lake|United States
ELB|San Bernado|El Banco|Colombia
ELC|Elcho Island|Elcho Island|Australia
ELD|Goodwin Field|El Dorado|United States
ELE|El Real|El Real|Panama
ELF|El Fasher|El Fasher|Sudan
ELG|Djamet|El Golea|Algeria
ELH|Intl.|North Eleuthera|Bahamas
ELI|Elim|Elim|United States
ELJ|El Recreo|El Recreo|Colombia
ELK|Municipal|Elk City|United States
ELL|Ellisras|Ellisras|South Africa
ELM|Elmira Corning Regional|Corning, NY|United States
ELN|Bowers Field|Ellensburg|United States
ELO|Eldorado|Eldorado|Argentina
ELP|El Paso Intl. Arpt.|El Paso|United States
ELQ|Gassim Regional Arpt.|Buraidah|Saudi Arabia
ELR|Elelim|Elelim|Indonesia
ELS|East London|East London|South Africa
ELT|Tour Sinai City|Tour Sinai City|Egypt
ELU|Guemar|El Oued|Algeria
ELV|Elfin Cove SPB|Elfin Cove|United States
ELW|Ellamar|Ellamar|United States
ELX|El Tigre|El Tigre|Venezuela
ELY|Yelland|Ely|United States
ELZ|Municipal|Wellsville|United States
EMA|East Midlands|Derby|United Kingdom
EMB|Embarkadero|San Francisco|United States
EMD|Emerald|Emerald|Australia
EME|Emden|Emden|Germany
EMG|Empangeni|Empangeni|South Africa
EMI|Emirau|Emirau|Papua New Guinea
EMK|Emmonak|Emmonak|United States
EML|Emmen|Luzern|Switzerland
EMM|Kemerer|Kemerer|United States
EMN|Nema|Nema|Mauritania
EMO|Emo|Emo|Papua New Guinea
EMP|Emporia|Emporia|United States
EMS|Embessa|Embessa|Papua New Guinea
EMT|El Monte|El Monte|United States
EMX|El Maiten|El Maiten|Argentina
EMY|El Minya|El Minya|Egypt
ENA|Kenai|Kenai|United States
ENB|Eneabba West|Eneabba West|Australia
ENC|Essey|Nancy|France
END|Vance Afb|Enid|United States
ENE|Ende|Ende|Indonesia
ENF|Enontekio|Enontekio|Finland
ENH|Enshi|Enshi|China
ENI|El Nido|El Nido|Philippines
ENJ|El Naranjo|El Naranjo|Guatemala
ENK|Enniskillen St. Angelo|Enniskillen|United Kingdom
ENL|Municipal|Centralia|United States
ENN|Municipal|Nenana|United States
ENO|Teniente Prim Alarcon|Encarnacion|Paraguay
ENQ|Coronel E Soto Cano AB|Coronel E Soto Cano AB|Honduras
ENS|Twente|Enschede|Netherlands
ENT|Enewetak Island|Enewetak Island|Marshall Islands
ENU|Enugu|Enugu|Nigeria
ENV|Wendover|Wendover|United States
ENW|Kenosha Regional Arpt.|Kenosha|United States
EOH|Enrique Olaya Herrera Intl. Arpt.|Medellín|Colombia
EOI|Eday|Eday|United Kingdom
EOK|Keokuk|Keokuk|United States
EOR|El Dorado|El Dorado|Venezuela
EOS|Neosho|Neosho|United States
EOZ|Elorza|Elorza|Venezuela
EPA|El Palomar|El Palomar|Argentina
EPG|Browns|Weeping Water|United States
EPH|Ephrata|Ephrata|United States
EPI|Epi|Epi|Vanuatu
EPK|Episkopi|Episkopi|Cyprus
EPL|Mirecourt|Epinal|France
EPN|Epena|Epena|Congo
EPR|Esperance|Esperance|Australia
EPS|Arroyo Barril Intl.|Samana|Dominican Republic
EPT|Eliptamin|Eliptamin|Papua New Guinea
EPU|Parnu|Parnu|Estonia
EQS|Esquel|Esquel|Argentina
ERA|Erigavo|Erigavo|Somalia
ERB|Ernabella|Ernabella|Australia
ERC|Erzincan|Erzincan|Turkey
ERD|Berdyansk|Berdyansk|Ukraine
ERE|Erave|Erave|Papua New Guinea
ERF|Erfurt|Erfurt|Germany
ERH|Moulay Ali Cherif|Er-Rachidia|Morocco
ERI|Intl.|Erie|United States
ERM|Comandante Kraemer|Erechim|Brazil
ERN|Eirunepe|Eirunepe|Brazil
ERO|Coast Guard|Eldred Rock|United States
ERR|Errol|Errol|United States
ERS|Eros|Windhoek|Namibia
ERT|Erdenet|Erdenet|Mongolia
ERU|Erume|Erume|Papua New Guinea
ERV|Kerrville|Kerrville|United States
ERZ|Budrum|Erzurum|Turkey
ESB|Esenboga|Ankara|Turkey
ESC|Delta County Arpt|Escanaba|United States
ESD|Orcas Island|Eastsound|United States
ESE|Ensenada|Ensenada|Mexico
ESF|Esler Field|Alexandria|United States
ESG|Mariscal Estigarribia|Mariscal Estigarribia|Paraguay
ESH|Shoreham|Shoreham By Sea|United Kingdom
ESI|Espinosa|Espinosa|Brazil
ESK|Eskisehir|Eskisehir|Turkey
ESL|Elista|Elista|Russian Federation
ESM|Esmeraldas|Esmeraldas|Ecuador
ESN|Easton|Easton|United States
ESO|Espanola|Espanola|United States
ESP|Birchwood-Pocono|East Stroudsburg|United States
ESR|El Salvador|El Salvador|Chile
ESS|Essen|Essen|Germany
EST|Municipal|Estherville|United States
ESU|Essaouira|Essaouira|Morocco
ESW|State|Easton|United States
ETB|West Bend|West Bend|United States
ETD|Etadunna|Etadunna|Australia
ETE|Genda Wuha|Genda Wuha|Ethiopia
ETH|Eilat|Eilat|Israel
ETN|Municipal|Eastland|United States
ETS|Municipal|Enterprise|United States
ETZ|Metz-nancy-lorraine|Metz/nancy|France
EUA|Kaufana|Eua|Tonga
EUC|Eucla|Eucla|Australia
EUE|Eureka|Eureka|United States
EUF|Weedon Field|Eufaula|United States
EUG|Eugene|Eugene|United States
EUM|Neumuenster|Neumuenster|Germany
EUN|Hassan I|Laayoune|Morocco
EUO|Paratebueno|Paratebueno|Colombia
EUQ|Evelio Javier|Antique|Philippines
EUX|F D Roosevelt|St Eustatius|Netherlands Antilles
EVA|Landing Strip|Evadale|United States
EVD|Eva Downs|Eva Downs|Australia
EVE|Evenes|Harstad-narvik|Norway
EVG|Sveg|Sveg|Sweden
EVH|Evans Head|Evans Head|Australia
EVM|Eveleth|Eveleth|United States
EVN|Zvartnots|Yerevan|Armenia
EVV|Evansville Regional Arpt.|Evansville, IN|United States
EVW|Evanston|Evanston|United States
EVX|Evreux|Evreux|France
EWB|New Bedford|New Bedford|United States
EWD|Wildman Lake|Wildman Lake|United States
EWE|Ewer|Ewer|Indonesia
EWI|Enarotali|Enarotali|Indonesia
EWK|City-County|Newton|United States
EWN|Simmons Nott|New Bern|United States
EWO|Ewo|Ewo|Congo
EWR|Newark Liberty Intl.|Newark|United States
EWY|Greenham RAF|Newbury|United Kingdom
EXI|SPB|Excursion Inlet|United States
EXM|Exmouth Gulf|Exmouth Gulf|Australia
EXT|Exeter|Exeter|United Kingdom
EYL|Yelimane|Yelimane|Mali
EYP|El Yopal|El Yopal|Colombia
EYR|Yerington|Yerington|United States
EYS|Eliye Springs|Eliye Springs|Kenya
EYW|Intl.|Key West|United States
EZE|Ezeiza Ministro Pistarini|Buenos Aires|Argentina
EZS|Elazig|Elazig|Turkey
FAA|Faranah|Faranah|Guinea
FAB|Farnborough|Farnborough|United Kingdom
FAC|Faaite|Faaite|French Polynesia
FAE|Vagar|Sorvágur|Faroe Islands
FAF|Felker AAF|Fort Eustis|United States
FAG|Fagurholsmyri|Fagurholsmyri|Iceland
FAH|Farah|Farah|Afghanistan
FAI|Fairbanks Intl. Arpt.|Fairbanks|United States
FAJ|Diego Jimenez Torres|Fajardo|Puerto Rico
FAK|False Island|False Island|United States
FAL|Falcon State|Roma|United States
FAM|Regional|Farmington|United States
FAN|Lista|Farsund|Norway
FAO|Faro|Faro|Portugal
FAQ|Freida River|Freida River|Papua New Guinea
FAR|Hector Field|Fargo|United States
FAS|Faskrudsfjordur|Faskrudsfjordur|Iceland
FAT|Fresno Air Terminal Arpt.|Fresno|United States
FAV|Fakarava|Fakarava|French Polynesia
FAY|Municipal|Fayetteville|United States
FAZ|Fasa|Fasa|Iran
FBD|Faizabad|Faizabad|Afghanistan
FBE|Francisco Beltrao|Francisco Beltrao|Brazil
FBG|Simmons AAF|Fort Bragg|United States
FBK|Ft Wainwright|Fairbanks|United States
FBL|Municipal|Faribault|United States
FBM|Luano|Lubumbashi|Democratic Republic Of Congo
FBR|Fort Bridger|Fort Bridger|United States
FBS|Friday Harbor SPB|Friday Harbor SPB|United States
FBY|Municipal|Fairbury|United States
FCA|Glacier Park Intl.|Kalispell, MT|United States
FCB|Ficksburg Sentra Oes|Ficksburg|South Africa
FCH|Fresno-Chandler|Fresno|United States
FCM|Flying Cloud|Minneapolis|United States
FCN|Cuxhaven/Nordholz|Cuxhaven|Germany
FCO|Leonardo da Vinci Intl.|Rome|Italy
FCS|Butts AAF|Colorado Springs|United States
FCT|Firing Center AAF|Yakima|United States
FCY|Municipal|Forrest City|United States
FDE|Bringeland|Forde|Norway
FDF|Lamentin|Fort De France|Martinique
FDH|Friedrichshafen|Friedrichshafen|Germany
FDK|Frederick Municipal|Frederick|United States
FDR|Municipal|Frederick|United States
FDU|Bandundu|Bandundu|Democratic Republic Of The Congo
FDY|Findlay|Findlay|United States
FEA|Fetlar|Fetlar|United Kingdom
FEB|Sanfebagar|Sanfebagar|Nepal
FEC|Feira De Santana|Feira De Santana|Brazil
FEG|Fergana|Fergana|Uzbekistan
FEJ|Feijo|Feijo|Brazil
FEK|Ferkessedougou|Ferkessedougou|Cote d'Ivoire
FEL|Fuerstenfeldbruck|Fuerstenfeldbruck|Germany
FEN|Fernando De Noronha|Fernando De Noronha|Brazil
FEP|Albertus|Freeport|United States
FER|Fergusons Gulf|Fergusons Gulf|Kenya
FES|San Fernando|San Fernando|Spain
FET|Municipal|Fremont|United States
FEW|Warren AFB|Cheyenne|United States
FEZ|Sais|Fez|Morocco
FFA|First Flight|Kill Devil Hills|United States
FFD|RAF Station|Fairford|United Kingdom
FFL|Municipal|Fairfield|United States
FFM|Fergus Falls|Fergus Falls|United States
FFO|Patterson Afb|Dayton|United States
FFT|Capital City|Frankfort, KY|United States
FFU|Futaleufu|Futaleufu|Chile
FGD|Fderik|Fderik|Mauritania
FGI|Fagali I|Apia|Samoa
FGL|Fox Glacier|Fox Glacier|New Zealand
FGR|Fuengirola|Fuengirola|Spain
FGU|Fangatau|Fangatau|French Polynesia
FHU|Municipal|Sierra Vista|United States
FHZ|Fakahina|Fakahina|French Polynesia
FIC|Fire Cove|Fire Cove|United States
FID|Elizabeth Field|Fishers Island|United States
FIE|Fair Isle|Fair Isle|United Kingdom
FIG|Fria|Fria|Guinea
FIH|N'Djili Airport|Kinshasa|Democratic Republic Of Congo
FIK|Finke|Finke|Australia
FIL|Municipal|Fillmore|United States
FIN|Finschhafen|Finschhafen|Papua New Guinea
FIV|Five Finger|Five Finger Coast Guard Heliport|United States
FIZ|Fitzroy Crossing|Fitzroy Crossing|Australia
FJR|Fujairah Intl|Al-fujairah|United Arab Emirates
FKB|Soellingen|Karlsruhe/Baden Baden|Germany
FKH|Sculthorp RAF|Fakenham|United Kingdom
FKI|Kisangani|Kisangani|Democratic Republic of Congo
FKJ|Fukui|Fukui|Japan
FKL|Chess-Lambertin|Franklin|United States
FKN|Municipal|Franklin|United States
FKQ|Fak Fak|Fak Fak|Indonesia
FLA|Capitolio|Florencia|Colombia
FLB|Cangapara|Floriano|Brazil
FLC|Falls Creek|Falls Creek|Australia
FLD|Fond Du Lac|Fond Du Lac|United States
FLE|Fort Lee AAF|Petersburg|United States
FLF|Schaferhaus|Flensburg|Germany
FLG|Pulliam Field|Grand Canyon|United States
FLH|Flotta|Flotta|United Kingdom
FLI|Flateyri|Flateyri|Iceland
FLJ|Falls Bay|Falls Bay|United States
FLL|Fort Lauderdale/hollywood Intl.|Miami|United States
FLM|Filadelfia|Filadelfia|Paraguay
FLN|Hercilio Luz|Florianopolis|Brazil
FLO|Florence|Florence|United States
FLP|Flippin|Flippin|United States
FLR|Peretola|Florence|Italy
FLS|Flinders Island|Flinders Island|Australia
FLT|Flat|Flat|United States
FLU|Flushing|New York|United States
FLV|Sherman AAF|Fort Leavenworth|United States
FLW|Santa Cruz|Flores Island|Portugal
FLX|Municipal|Fallon|United States
FLY|Finley|Finley|Australia
FMA|El Pucu|Formosa|Argentina
FMC|Five Mile|Five Mile|United States
FME|Tipton AAF|Fort Meade|United States
FMG|Flamingo|Flamingo|Costa Rica
FMH|Otis AFB|Falmouth|United States
FMI|Kalemie|Kalemie|Zaire
FMM|Memmingen-Allgäu|Memmingen|Germany
FMN|Municipal|Farmington|United States
FMO|Greven|Muenster/Osnabrueck|Germany
FMS|Municipal|Fort Madison|United States
FMY|Page Field|Fort Myers|United States
FNA|Lungi Intl.|Freetown|Sierra Leone
FNB|Neubrandenburg|Neubrandenburg|Germany
FNC|Madeira|Funchal|Portugal
FNE|Fane|Fane|Papua New Guinea
FNG|Fada Ngourma|Fada Ngourma|Burkina Faso
FNI|Garons|Nimes|France
FNJ|Sunan Intl.|Pyongyang|Korea
FNK|Fin Creek|Fin Creek|United States
FNL|Municipal Arpt.|Fort Collins/Loveland|United States
FNR|SPB|Funter Bay|United States
FNT|Bishop Intl. Arpt.|Flint|United States
FOA|Foula|Foula|United Kingdom
FOB|Fort Bragg|Fort Bragg|United States
FOC|Fuzhou|Fuzhou|China
FOD|Fort Dodge Regional|Fort Dodge, IA|United States
FOE|Forbes Field|Topeka, KS|United States
FOG|Gino Lisa|Foggia|Italy
FOK|Suffolk County|Westhampton|United States
FOM|Foumban|Foumban|Cameroon
